time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,-32.0,71,10.5,2025-12-11,0,very_cold,-33.42
2025-12-11 01:00:00,-32.6,71,9.9,2025-12-11,1,very_cold,-34.02
2025-12-11 02:00:00,-33.2,71,10.1,2025-12-11,2,very_cold,-34.620000000000005
2025-12-11 03:00:00,-33.7,71,10.4,2025-12-11,3,very_cold,-35.120000000000005
2025-12-11 04:00:00,-34.1,71,10.7,2025-12-11,4,very_cold,-35.52
2025-12-11 05:00:00,-34.4,68,10.9,2025-12-11,5,very_cold,-35.76
2025-12-11 06:00:00,-34.7,69,10.5,2025-12-11,6,very_cold,-36.080000000000005
2025-12-11 07:00:00,-35.1,69,9.7,2025-12-11,7,very_cold,-36.480000000000004
2025-12-11 08:00:00,-35.6,69,9.7,2025-12-11,8,very_cold,-36.980000000000004
2025-12-11 09:00:00,-36.0,70,9.7,2025-12-11,9,very_cold,-37.4
2025-12-11 10:00:00,-36.3,70,10.4,2025-12-11,10,very_cold,-37.699999999999996
2025-12-11 11:00:00,-36.4,70,11.2,2025-12-11,11,very_cold,-37.8
2025-12-11 12:00:00,-36.4,70,11.9,2025-12-11,12,very_cold,-37.8
2025-12-11 13:00:00,-36.4,70,11.9,2025-12-11,13,very_cold,-37.8
2025-12-11 14:00:00,-36.4,70,12.0,2025-12-11,14,very_cold,-37.8
2025-12-11 15:00:00,-36.5,70,11.7,2025-12-11,15,very_cold,-37.9
2025-12-11 16:00:00,-36.5,70,12.1,2025-12-11,16,very_cold,-37.9
2025-12-11 17:00:00,-36.4,70,12.0,2025-12-11,17,very_cold,-37.8
2025-12-11 18:00:00,-36.3,69,12.4,2025-12-11,18,very_cold,-37.68
2025-12-11 19:00:00,-36.1,70,13.4,2025-12-11,19,very_cold,-37.5
2025-12-11 20:00:00,-35.9,69,14.5,2025-12-11,20,very_cold,-37.28
2025-12-11 21:00:00,-35.9,69,14.9,2025-12-11,21,very_cold,-37.28
2025-12-11 22:00:00,-36.0,69,15.2,2025-12-11,22,very_cold,-37.38
2025-12-11 23:00:00,-35.8,69,16.0,2025-12-11,23,very_cold,-37.18
